Category: All categories

Month,mudik: (Indonesia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,20
2004-11,81
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,76
2005-11,19
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,15
2006-10,100
2006-11,8
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,4
2007-09,31
2007-10,81
2007-11,4
2007-12,3
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,2
2008-06,2
2008-07,2
2008-08,7
2008-09,95
2008-10,17
2008-11,2
2008-12,3
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,2
2009-08,16
2009-09,84
2009-10,3
2009-11,2
2009-12,3
2010-01,1
2010-02,1
2010-03,1
2010-04,0
2010-05,1
2010-06,1
2010-07,3
2010-08,26
2010-09,59
2010-10,2
2010-11,1
2010-12,2
2011-01,1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,1
2011-06,1
2011-07,5
2011-08,40
2011-09,9
2011-10,2
2011-11,2
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,2
2012-07,8
2012-08,49
2012-09,2
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,<1
2013-03,1
2013-04,1
2013-05,1
2013-06,2
2013-07,20
2013-08,36
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,2
2014-06,4
2014-07,55
2014-08,6
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,2
2015-05,4
2015-06,15
2015-07,69
2015-08,2
2015-09,1
2015-10,1
2015-11,1
2015-12,2
2016-01,1
2016-02,1
2016-03,1
2016-04,3
2016-05,5
2016-06,29
2016-07,43
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,3
2017-04,4
2017-05,7
2017-06,52
2017-07,4
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,2
2018-01,1
2018-02,2
2018-03,4
2018-04,5
2018-05,10
2018-06,44
2018-07,2
2018-08,1
2018-09,1
2018-10,1
2018-11,1
2018-12,2
2019-01,1
2019-02,2
2019-03,6
2019-04,9
2019-05,29
2019-06,21
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,2
2020-01,1
2020-02,3
2020-03,9
2020-04,36
2020-05,31
2020-06,4
2020-07,2
2020-08,1
2020-09,1
2020-10,1
2020-11,1
2020-12,3
2021-01,1
2021-02,1
2021-03,15
2021-04,73
2021-05,60
2021-06,2
2021-07,2
2021-08,1
2021-09,1
2021-10,1
2021-11,1
2021-12,1
2022-01,1
2022-02,1
2022-03,5
2022-04,33
2022-05,8
2022-06,1
2022-07,1
2022-08,1
2022-09,1
2022-10,1
2022-11,1
2022-12,1
2023-01,1
2023-02,2
2023-03,11
2023-04,27
2023-05,2
2023-06,1
2023-07,1
2023-08,1
2023-09,1
2023-10,1
2023-11,1
2023-12,2
2024-01,1
2024-02,2
2024-03,17
2024-04,17
2024-05,1
